Estado,Anio,PIB,PIBperCapita,Poblacion
Sinaloa,2012,330191.387,116964.7701,2822999
Sinaloa,2013,334097.307,117259.9474,2849203
Sinaloa,2014,340077.857,118271.2532,2875406
Sinaloa,2015,358848.314,123672.1599,2901610
Sinaloa,2016,376438.398,128573.2328,2927814
Sinaloa,2017,380987.655,128972.7475,2954017
Sinaloa,2018,390504.775,131032.1815,2980221
Sonora,2003,365533.727,155155.751,2355915
Sonora,2004,384484.325,160492.2771,2395657
Sonora,2005,404881.254,166248.5162,2435398
Sonora,2006,429625.189,173576.1754,2475140
Sonora,2007,435397.343,173128.4338,2514881
Sonora,2008,436717.189,170951.7789,2554623
Sonora,2009,410374.271,158179.1698,2594364
Sonora,2010,431501.919,163813.4847,2634105
Sonora,2011,471510.171,176341.5282,2673847
Sonora,2012,495926.031,182756.5738,2713588
Sonora,2013,510315.674,185344.9419,2753330
Sonora,2014,522896.949,187212.2044,2793071
Sonora,2015,549606.823,194014.5568,2832813
Sonora,2016,578945.379,201543.7925,2872554
Sonora,2017,575986.463,197777.4983,2912296
Sonora,2018,581395.25,196947.1633,2952037
Tabasco,2003,374891.404,189618.936,1977078
Tabasco,2004,391243.029,194515.0893,2011377
Tabasco,2005,421079.732,205839.0577,2045675
Tabasco,2006,445309.616,214093.9448,2079973
Tabasco,2007,454079.113,214768.6102,2114272
Tabasco,2008,475202.827,221171.7085,2148570
Tabasco,2009,495944.159,227198.4151,2182869
Tabasco,2010,525011.917,236794.0976,2217167
Tabasco,2011,549751.131,244174.8771,2251465
Tabasco,2012,564003.811,246746.3956,2285764
Tabasco,2013,553628.205,238626.5234,2320062
Tabasco,2014,564794.238,239892.912,2354360
Tabasco,2015,562212.305,235367.4146,2388659
Tabasco,2016,534685.495,220674.8168,2422957
Tabasco,2017,509388.361,207299.7624,2457255
Tabasco,2018,468708.681,188119.068,2491554
Tamaulipas,2003,391574.439,134253.6656,2916676
Tamaulipas,2004,410112.746,138207.342,2967374
Tamaulipas,2005,436490.981,144625.8543,3018071
Tamaulipas,2006,449609.24,146511.3491,3068768
Tamaulipas,2007,464007.812,148745.9854,3119465
Tamaulipas,2008,483350.662,152468.7789,3170162
Tamaulipas,2009,439739.323,136528.599,3220859
Tamaulipas,2010,448215.116,137003.6592,3271556
Tamaulipas,2011,456768.535,137487.5863,3322253
Tamaulipas,2012,466371.322,138268.0788,3372951
Tamaulipas,2013,473241.401,138227.2702,3423648
Tamaulipas,2014,477891.309,137548.6338,3474345
Tamaulipas,2015,492586.952,139739.3381,3525042
Tamaulipas,2016,500458.048,139959.3525,3575739
Tamaulipas,2017,498369.426,137426.7946,3626436
Tamaulipas,2018,507780.727,138091.486,3677133
Tlaxcala,2003,83254.186,80884.74347,1029295
Tlaxcala,2004,89789.73,85568.94917,1049327
Tlaxcala,2005,79279.279,74137.25954,1069359
Tlaxcala,2006,77889.934,71498.66019,1089391
Tlaxcala,2007,79019.573,71225.88431,1109423
Tlaxcala,2008,83246.79,73705.3286,1129455
Tlaxcala,2009,81739.53,71109.62395,1149487
Tlaxcala,2010,88809.886,75937.156,1169519
Tlaxcala,2011,86031.739,72322.91462,1189551
Tlaxcala,2012,89918.601,74338.55924,1209583
Tlaxcala,2013,87657.644,71288.73408,1229615
Tlaxcala,2014,90362.518,72310.47653,1249647
Tlaxcala,2015,96458.62,75970.91326,1269679
Tlaxcala,2016,96859.667,75101.87792,1289711
Tlaxcala,2017,95585.227,72980.17639,1309743
Tlaxcala,2018,99024.914,74467.45627,1329775
Veracruz,2003,613590.201,86205.55377,7117758
Veracruz,2004,643859.491,89651.38372,7181814
Veracruz,2005,648906.398,89555.35631,7245870
Veracruz,2006,684557.368,93647.65702,7309926
Veracruz,2007,705608.578,95688.95809,7373982
